OrderID,CustomerID,ProductCategory,OrderValue,OrderDate,Region,PaymentMethod
1001,C2620,Electronics,1444.54,2024-10-06,South,Credit Card
1002,C0572,Sports,555553.26,2024-11-09,North,COD
1003,C1729,Electronics,1682.9,2024-09-28,South,COD
1004,C2466,Electronics,28149,2024-11-23,Central,Net Banking
1005,C0903,Books,29544.43,2024-09-01,South,Wallet
1006,C1732,Home & Kitchen,14036.99,2024-09-28,East,UPI
1007,C0380,Books,5015.48,2024-10-15,Central,Debit Card
1008,C0178,Sports,1223078.36,2024-09-16,West,UPI
1009,C2262,Home & Kitchen,41503.35,2024-11-19,East,COD
1010,C0788,Sports,3662.85,2024-11-24,South,Debit Card
1011,C0327,Toys,11791.99,2024-09-13,West,Debit Card
1012,C1858,Sports,41737.7,2024-09-21,East,Debit Card
1013,C0859,Sports,13494.5,2024-11-27,North,COD
1014,C2601,Apparel,26799.17,2024-10-02,South,Net Banking
1015,C1555,Home & Kitchen,49477.26,2024-11-21,Central,Credit Card
1016,C2805,Home & Kitchen,42173.03,2024-09-08,South,UPI
1017,C1293,Books,13532.5,2024-09-28,Central,Wallet
1018,C1289,Apparel,32839.85,2024-10-21,West,Credit Card
1019,C1085,Apparel,12481.05,2024-11-11,Central,Debit Card
1020,C2395,Books,44910.58,2024-10-22,East,Credit Card
1021,C0567,Beauty,24776.09,2024-09-07,North,Credit Card
1022,C2571,Apparel,39644.55,2024-10-25,Central,UPI
1023,C1577,Books,29874.24,2024-10-30,Central,Debit Card
1024,C2267,Toys,47132.06,2024-11-27,North,Wallet
1025,C2200,Toys,13486.89,2024-11-22,East,UPI
1026,C1203,Books,8075.26,2024-09-01,East,COD
1027,C0732,Beauty,45647.87,2024-11-20,East,Wallet
1028,C2080,Beauty,10104.77,2024-10-18,South,COD
1029,C2173,Electronics,30026.44,2024-11-02,North,UPI
1030,C1487,Toys,40376.39,2024-10-01,North,Credit Card
1031,C2324,Electronics,4464.54,2024-11-02,North,COD
1032,C0516,Apparel,33054.59,2024-11-10,South,Debit Card
1033,C2162,Toys,30407.38,2024-09-28,Central,Wallet
1034,C2826,Apparel,35703.86,2024-10-22,East,Net Banking
1035,C2120,Books,6225.01,2024-09-29,North,Debit Card
1036,C0087,Beauty,27784.29,2024-11-15,South,UPI
1037,C0291,Sports,31627.93,2024-09-30,North,UPI
1038,C1354,Electronics,25803.97,2024-10-06,West,Credit Card
1039,C2209,Apparel,36221.96,2024-11-13,Central,Net Banking
1040,C0996,Toys,23753.05,2024-10-23,South,UPI
1041,C0398,Sports,21665.35,2024-10-25,West,Net Banking
1042,C2987,Electronics,33732.55,2024-11-22,North,UPI
1043,C1650,Sports,17096.27,2024-09-14,South,Credit Card
1044,C0780,Beauty,22539.95,2024-10-25,South,Debit Card
1045,C1895,Apparel,43748.4,2024-09-10,West,COD
1046,C0402,Electronics,32675.82,2024-11-09,North,UPI
1047,C0969,Apparel,20438.42,2024-11-01,South,Net Banking
1048,C0241,Apparel,19071.86,2024-10-20,East,Net Banking
1049,C1169,Books,34889.26,2024-11-11,West,Credit Card
1050,C0778,Home & Kitchen,11040.5,2024-09-08,Central,Wallet
1051,C2221,Electronics,37448.18,2024-09-08,North,COD
1052,C1953,Beauty,45984.48,2024-11-07,South,UPI
1053,C2081,Electronics,42595.86,2024-09-09,Central,UPI
1054,C2766,Toys,11912.15,2024-09-16,Central,Credit Card
1055,C2372,Beauty,2178.13,2024-09-11,West,Wallet
1056,C2391,Beauty,26233.58,2024-10-04,South,Wallet
1057,C2934,Home & Kitchen,12085.56,2024-10-21,South,Wallet
1058,C2644,Home & Kitchen,22968.78,2024-09-10,North,Net Banking
1059,C2545,Beauty,49804.6,2024-09-10,Central,Credit Card
1060,C2073,Home & Kitchen,6795.34,2024-10-15,North,Credit Card
1061,C1514,Home & Kitchen,8054.79,2024-11-09,East,COD
1062,C2679,Beauty,588.59,2024-11-10,East,Wallet
1063,C0425,Apparel,13369.4,2024-09-14,Central,Credit Card
1064,C1116,Home & Kitchen,30319.53,2024-10-14,South,Wallet
1065,C2598,Toys,13345.4,2024-11-02,East,UPI
1066,C0379,Sports,21293.07,2024-10-06,North,UPI
1067,C1367,Toys,6713.82,2024-10-04,South,Wallet
1068,C1810,Beauty,35341.24,2024-11-11,North,UPI
1069,C0309,Sports,45214.64,2024-11-09,North,Debit Card
1070,C2386,Beauty,7574.07,2024-09-17,North,Debit Card
1071,C1494,Toys,48614.37,2024-09-06,East,Credit Card
1072,C2794,Apparel,33412.28,2024-10-16,Central,Net Banking
1073,C2543,Sports,7895.76,2024-10-01,South,Credit Card
1074,C1689,Electronics,9131.16,2024-10-13,West,Wallet
1075,C1017,Home & Kitchen,8127.05,2024-11-29,North,Net Banking
1076,C0159,Toys,23639.36,2024-09-26,West,Debit Card
1077,C1251,Toys,39807.21,2024-09-30,South,UPI
1078,C2704,Apparel,20042.61,2024-10-06,North,Debit Card
1079,C1439,Sports,25567.4,2024-11-26,Central,Debit Card
1080,C0114,Electronics,43875.51,2024-10-04,South,COD
1081,C1088,Electronics,5597.45,2024-10-26,East,Wallet
1082,C1285,Books,30388.2,2024-11-05,North,Net Banking
1083,C2362,Apparel,12884.18,2024-11-30,West,UPI
1084,C2130,Toys,27013.91,2024-11-25,South,Debit Card
1085,C1767,Electronics,47452.95,2024-10-13,Central,Debit Card
1086,C2718,Toys,6405.34,2024-10-09,Central,Debit Card
1087,C2732,Books,16442.91,2024-11-29,East,COD
1088,C0522,Apparel,21137.23,2024-10-19,South,COD
1089,C2332,Home & Kitchen,20421.54,2024-09-01,East,Debit Card
1090,C0861,Books,39329.79,2024-11-17,East,Net Banking
1091,C1810,Books,33845.24,2024-11-05,West,Wallet
1092,C0696,Sports,4421.82,2024-11-05,Central,Debit Card
1093,C0383,Toys,47608.58,2024-10-01,East,Credit Card
1094,C0816,Apparel,1415.38,2024-10-02,West,COD
1095,C0299,Books,20838.16,2024-11-20,Central,Credit Card
1096,C2943,Sports,19321.13,2024-10-22,South,Credit Card
1097,C2688,Sports,475.13,2024-09-14,West,Credit Card
1098,C0721,Toys,47905.71,2024-11-06,West,UPI
1099,C2284,Apparel,45889.01,2024-09-16,West,Credit Card
1100,C1904,Sports,26649.37,2024-11-11,Central,Debit Card
